qc_id,id,name,date,time,lon,lat,altitude,north,azimuth,camera mak,camera mod,title,comment,path,relpath,timestamp,icon_url
"0",0dcc16b5-88c9-4c50-ba08-355e924a6489,TimePhoto_20200525_081452.jpg,2020/05/25,08:14:51.000,-54.6248383333333,-16.4761130555556,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_081452.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_081452.jpg,2020/05/25 08:14:51.000,./0.png
"1",3e0a7485-d882-4f8d-8033-072a1f403c6b,TimePhoto_20200525_081913.jpg,2020/05/25,08:19:13.000,-54.62735,-16.4749825,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_081913.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_081913.jpg,2020/05/25 08:19:13.000,./0.png
"2",2e2c6b6d-5323-43c4-b6ea-c57b90dae4ac,TimePhoto_20200525_083240.jpg,2020/05/25,08:32:40.000,-54.595015,-16.4875594444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_083240.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_083240.jpg,2020/05/25 08:32:40.000,./0.png
"3",01c7e530-3bfa-4f3c-a649-1288d8396509,TimePhoto_20200525_083243.jpg,2020/05/25,08:32:43.000,-54.5949969444444,-16.4876847222222,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_083243.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_083243.jpg,2020/05/25 08:32:43.000,./0.png
"4",9f7a0590-ab97-46b6-80ae-28adaaba26eb,TimePhoto_20200525_083538.jpg,2020/05/25,08:35:38.000,-54.5964088888889,-16.4872602777778,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_083538.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_083538.jpg,2020/05/25 08:35:38.000,./0.png
"5",d0c81df3-5968-4afc-98d7-239710ef9501,TimePhoto_20200525_084620.jpg,2020/05/25,08:46:20.000,-54.5906905555556,-16.486065,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_084620.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_084620.jpg,2020/05/25 08:46:20.000,./0.png
"6",db9b7a5f-dc1d-484d-94bb-e00305a5edfc,TimePhoto_20200525_085105.jpg,2020/05/25,08:51:04.000,-54.5909780555556,-16.4847427777778,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_085105.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_085105.jpg,2020/05/25 08:51:04.000,./0.png
"7",9c903435-593c-408d-af01-823c8039b11c,TimePhoto_20200525_090752.jpg,2020/05/25,09:07:52.000,-54.5752252777778,-16.4726866666667,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_090752.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_090752.jpg,2020/05/25 09:07:52.000,./0.png
"8",66203357-17f0-4766-8ac7-dda714370255,TimePhoto_20200525_091130.jpg,2020/05/25,09:11:30.000,-54.5733122222222,-16.4730141666667,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_091130.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_091130.jpg,2020/05/25 09:11:30.000,./0.png
"9",212b1ccb-7e46-4174-857e-4544acde8584,TimePhoto_20200525_091546.jpg,2020/05/25,09:15:46.000,-54.5733158333333,-16.4710355555556,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_091546.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_091546.jpg,2020/05/25 09:15:46.000,./0.png
"10",345dcf62-3cd7-4970-a4bd-f9c196532237,TimePhoto_20200525_091951.jpg,2020/05/25,09:19:50.000,-54.5722583333333,-16.4727444444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_091951.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_091951.jpg,2020/05/25 09:19:50.000,./0.png
"11",6f967432-2b3d-4e2e-b201-41357a308a3c,TimePhoto_20200525_092136.jpg,2020/05/25,09:21:36.000,-54.5722247222222,-16.472975,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/29) 25 05 20 - 15° Medição\TimePhoto_20200525_092136.jpg,./29) 25 05 20 - 15° Medição/TimePhoto_20200525_092136.jpg,2020/05/25 09:21:36.000,./0.png
