qc_id,id,name,date,time,lon,lat,altitude,north,azimuth,camera mak,camera mod,title,comment,path,relpath,timestamp,icon_url
"0",0def5f67-03ac-4261-a1d3-b1b8cb205d24,TimePhoto_20200529_083000.jpg,2020/05/29,08:29:59.000,-54.644635,-16.4514416666667,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_083000.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_083000.jpg,2020/05/29 08:29:59.000,./0.png
"1",ac6b0122-28ed-488f-84a6-dd493139de01,TimePhoto_20200529_083652.jpg,2020/05/29,08:36:52.000,-54.6443080555556,-16.4516988888889,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_083652.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_083652.jpg,2020/05/29 08:36:52.000,./0.png
"2",a363b1ab-9be3-4657-815f-d3862bb7f398,TimePhoto_20200529_084247.jpg,2020/05/29,08:42:47.000,-54.6423608333333,-16.4583091666667,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_084247.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_084247.jpg,2020/05/29 08:42:47.000,./0.png
"3",dfb64104-e4b7-40e6-9517-709069149c2c,TimePhoto_20200529_085203.jpg,2020/05/29,08:52:03.000,-54.6210861111111,-16.4540972222222,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_085203.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_085203.jpg,2020/05/29 08:52:03.000,./0.png
"4",4e3869ba-55db-4f61-ab2b-bbd354d1188d,TimePhoto_20200529_085702.jpg,2020/05/29,08:57:02.000,-54.6161911111111,-16.4529530555556,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_085702.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_085702.jpg,2020/05/29 08:57:02.000,./0.png
"5",641392d3-3288-4ccf-b210-5814287e1ebc,TimePhoto_20200529_090212.jpg,2020/05/29,09:02:12.000,-54.6149605555556,-16.4506858333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_090212.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_090212.jpg,2020/05/29 09:02:12.000,./0.png
"6",222b51b6-235d-4cea-86d8-7cfa1d4003bb,TimePhoto_20200529_090855.jpg,2020/05/29,09:08:55.000,-54.6075941666667,-16.4595158333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_090855.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_090855.jpg,2020/05/29 09:08:55.000,./0.png
"7",443aba0a-2355-40b9-9ecc-efbc6b500082,TimePhoto_20200529_091603.jpg,2020/05/29,09:16:03.000,-54.6043966666667,-16.4559811111111,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_091603.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_091603.jpg,2020/05/29 09:16:03.000,./0.png
"8",d1bf0983-8ec3-4ba0-8f0a-c4150d828f45,TimePhoto_20200529_092224.jpg,2020/05/29,09:22:24.000,-54.60395,-16.4581508333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_092224.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_092224.jpg,2020/05/29 09:22:24.000,./0.png
"9",58435f49-e2a1-4083-b1ef-ff76962b9eec,TimePhoto_20200529_092959.jpg,2020/05/29,09:29:59.000,-54.6098669444444,-16.4529272222222,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_092959.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_092959.jpg,2020/05/29 09:29:59.000,./0.png
"10",103fc3e8-7e6f-41b8-b7e9-f0012e57a057,TimePhoto_20200529_093724.jpg,2020/05/29,09:37:24.000,-54.6124725,-16.4622994444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_093724.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_093724.jpg,2020/05/29 09:37:24.000,./0.png
"11",822c29fd-deea-46c6-82eb-d6bccf299570,TimePhoto_20200529_094416.jpg,2020/05/29,09:44:16.000,-54.6129277777778,-16.459225,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_094416.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_094416.jpg,2020/05/29 09:44:16.000,./0.png
"12",8fcf24ae-de36-480a-a00e-5fc1cc3c92d4,TimePhoto_20200529_094425.jpg,2020/05/29,09:44:25.000,-54.6129394444444,-16.4592247222222,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_094425.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_094425.jpg,2020/05/29 09:44:25.000,./0.png
"13",188831c5-418a-4125-ad0c-2ec7ee023dc2,TimePhoto_20200529_094440.jpg,2020/05/29,09:44:40.000,-54.6130063888889,-16.4591477777778,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_094440.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_094440.jpg,2020/05/29 09:44:40.000,./0.png
"14",0890890a-8bdf-49be-96b5-5946f90a1b03,TimePhoto_20200529_094852.jpg,2020/05/29,09:48:52.000,-54.6175202777778,-16.4579955555556,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_094852.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_094852.jpg,2020/05/29 09:48:52.000,./0.png
"15",b408c33f-9ab1-4e21-a5e1-7ddecfa76b69,TimePhoto_20200529_095223.jpg,2020/05/29,09:52:23.000,-54.6173116666667,-16.4568869444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_095223.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_095223.jpg,2020/05/29 09:52:23.000,./0.png
"16",f711a993-5a04-4008-b696-13eb7dacdcd7,TimePhoto_20200529_095539.jpg,2020/05/29,09:55:39.000,-54.6149175,-16.4575,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_095539.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_095539.jpg,2020/05/29 09:55:39.000,./0.png
"17",0c7eb803-1051-4580-a919-168f163f0b35,TimePhoto_20200529_100440.jpg,2020/05/29,10:04:40.000,-54.6089375,-16.4771836111111,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_100440.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_100440.jpg,2020/05/29 10:04:40.000,./0.png
"18",1761e266-91de-4f12-9f6b-ed55b642f1ab,TimePhoto_20200529_100914.jpg,2020/05/29,10:09:14.000,-54.6089886111111,-16.4748847222222,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_100914.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_100914.jpg,2020/05/29 10:09:14.000,./0.png
"19",d422d4e7-ef8e-40ec-a95c-234abe5b9678,TimePhoto_20200529_101611.jpg,2020/05/29,10:16:11.000,-54.6203866666667,-16.4789783333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_101611.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_101611.jpg,2020/05/29 10:16:11.000,./0.png
"20",baa43cca-9ba6-4099-9536-0e497ddc2f26,TimePhoto_20200529_102413.jpg,2020/05/29,10:24:13.000,-54.6248222222222,-16.4633988888889,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/31) 29 05 20 - 15º Medição\TimePhoto_20200529_102413.jpg,./31) 29 05 20 - 15º Medição/TimePhoto_20200529_102413.jpg,2020/05/29 10:24:13.000,./0.png
